species	chemical	frequency	pmid
Mushrooms	umami	65	36242961, 36099828, 35905616, 35340024, 34829114, 34533219, 34311238, 34175630, 33782771, 33709503, 33580387, 33233168, 32968729, 32020024, 31108770, 29277224, 29199564, 28551231, 28350213, 27910787, 26304449, 25560993, 25124478, 24941035, 24915349, 24054262, 23768330, 23472642, 22339711, 23510252, 22135878, 20175083, 16569064, 15884853
Mushrooms	umami amino acids	6	36242961, 34624741, 29277224
Mushrooms	5-nucleotides	1	36242961
Mushrooms	beta-glucan	374	36236150, 36234850, 36126575, 36004705, 35736046, 35482469, 35448559, 34952343, 34936306, 34875322, 34683391, 34600952, 34505919, 34441591, 34149707, 34057170, 33928983, 33920583, 33822503, 33806255, 33800212, 33639078, 33541370, 33389854, 33389852, 35381156, 33379207, 33333095, 33322069, 33309412, 33279005, 33276307, 33245358, 33177919, 33036263, 32867640, 32759726, 32749096, 32706908, 32676470, 32630366, 32479021, 32463994, 32413619, 32057877, 31832297, 31641704, 31426608, 31247237, 31095342, 31030754, 31002613, 30806234, 30676779, 30317955, 30263740, 30041479, 29491277, 29345558, 29287801, 29256840, 29249921, 29199574, 29199562, 29156828, 28895671, 28595034, 28465544, 28322142, 27910785, 27910771, 27910770, 27747357, 27596390, 27566177, 27481297, 27481152, 27413214, 27353254, 27138726, 27074537, 26984176, 26957216, 26190751, 25746617, 25346611, 25209501, 25143443, 25071386, 25033107, 24941170, 24940900, 24912704, 24808733, 24493936, 24399760, 24266377, 24200110, 23987310, 23831551, 23557364, 23544521, 23510279, 23494974, 23293888, 23232921, 23140353, 23140352, 23092290, 22865023, 22844473, 22783735, 22717313, 22648628, 22577976, 23510247, 23510171, 22164761, 22135894, 22135887, 22135885, 22135873, 21998613, 21775433, 25213921, 21480277, 21313910, 21304532, 20633495, 20347942, 19885842, 19809252, 19571787, 19144872, 19106638, 19010422, 18454171, 18309284, 18239423, 17895634, 17499199, 17201124, 17043406, 16894963, 15838675, 12470438, 10702635, 9987601
Mushrooms	bg	10	36236150, 34347998, 33822503, 32479021, 23557364, 22577976
Mushrooms	oil	64	36236150, 35622125, 34520973, 34441470, 34100044, 33773685, 35381151, 33127232, 32558504, 32266246, 31425759, 31002605, 30609800, 30228387, 29701491, 28585172, 28436326, 28345827, 28082791, 27910761, 27494458, 27481303, 27451148, 26692380, 26207731, 25745199, 25473510, 24027758, 22336529, 22290399, 22136665, 21539616, 17023161, 12380748, 18144691
Mushrooms	beta-glucans	334	36234850, 36009288, 35910346, 35889308, 35879221, 35736046, 35448559, 35442592, 35173256, 34936332, 34875322, 34836215, 34591395, 34505919, 34375514, 34347991, 34203966, 34202377, 34200897, 34149707, 33940295, 33920583, 33822505, 33806285, 33806255, 33805096, 33609583, 33521800, 33389852, 36046144, 35381156, 33322069, 33309412, 33279005, 33177919, 33142573, 33127232, 33043794, 33036263, 32955071, 32759726, 32706908, 32653808, 32570735, 32413619, 32316680, 32258147, 32165203, 32089236, 31936360, 31717560, 31697749, 31679284, 30806234, 30676779, 30373293, 30317947, 30196242, 30049632, 29953399, 29869500, 29491277, 29393350, 29345558, 29256842, 29249921, 29195984, 29177335, 29166776, 28895671, 28718825, 28421412, 28322142, 28231175, 28125070, 28105862, 28002446, 27910785, 27842810, 27760471, 27747357, 27596390, 27481152, 27438015, 27401257, 27353254, 26900983, 25346611, 25209501, 25143443, 24940900, 24912704, 24518400, 24399760, 24229406, 24083790, 24083788, 23831551, 23557364, 23544521, 23494974, 23408460, 23293888, 23172575, 23140353, 23140352, 23092290, 23092289, 22865023, 22783735, 22717313, 22648628, 23510175, 22135899, 23140737, 21601835, 21480277, 20197785, 20008216, 19906249, 19885842, 19571787, 19459738, 19106638, 19053851, 17895634, 17827055, 17212088, 17201124, 16337299, 15838675, 15630237, 15536392, 14982320, 12436306, 10702635, 31018285
Mushrooms	lipid	323	36234742, 36141009, 36139844, 36027667, 36004709, 35993962, 35987007, 35836693, 35798070, 35739932, 35649960, 35626955, 35561790, 35442595, 35440876, 35205965, 35075427, 35026489, 34822437, 34599826, 34591400, 34591395, 34475852, 34441665, 34410111, 34390493, 34375514, 34202377, 34100044, 33925340, 33917311, 33818961, 33639084, 33639080, 33580297, 33469926, 33463939, 33463938, 33455975, 33426839, 33389855, 35381154, 33374283, 33322461, 33322069, 33309597, 33179483, 32980948, 32973493, 32971130, 32968729, 32865900, 32749097, 32695912, 32612025, 32526952, 32479018, 32463999, 32462901, 32338890, 32298680, 32119803, 32071815, 32046069, 31936890, 31865422, 31758996, 31751686, 31724396, 31554069, 31455047, 31426291, 31388210, 31313310, 31162580, 30806299, 30806259, 30806258, 30806225, 30806221, 32450018, 30594618, 30592870, 30111678, 30040961, 29986138, 29931536, 29880886, 29861774, 29773003, 29734004, 29701491, 29431071, 29388355, 29345563, 29199585, 29199584, 29199569, 29199554, 29179679, 28572939, 28125070, 28017981, 27910784, 27910773, 27636731, 27733076, 27667329, 27438015, 27388463, 27279533, 27279532, 27279443, 27193019, 27151383, 26853961, 26756186, 26539033, 26349512, 26349510, 26273253, 26082988, 26028707, 25926021, 25720975, 25686270, 25510923, 25263876, 25250317, 24999438, 24941167, 24695618, 24440295, 26785237, 24292357, 24266369, 23994642, 23961190, 23911491, 23796481, 23793036, 23772114, 23737819, 23648024, 23553427, 23497872, 23406154, 22889896, 22783084, 22713951, 22573010, 22369965, 22339705, 34662976, 23510251, 22164766, 21910414, 21864091, 21831304, 22783072, 20647028, 20645726, 20078077, 23074397, 23983533, 19680127, 19628560, 19423319, 19286482, 23983505, 23997631, 19005974, 18825975, 18703747, 18675349, 17988848, 17902625, 17497883, 17457544, 17177499, 17043406, 16959482, 16101298, 15749049, 15337452, 12823261, 12725930, 12616600, 12380748, 9110582, 8795938, 31018285, 568214, 13639353, 13511786
Mushrooms	sodium nitroprusside	2	36230224, 35467802
Mushrooms	1-methylcyclopropene	3	36230224, 30847153
Mushrooms	1-mcp	7	36230224, 30847153
Mushrooms	reactive oxygen species	71	36230224, 36187940, 36160418, 35997094, 35993962, 35784738, 35695634, 35616396, 35467805, 34820866, 34682283, 34592222, 34587423, 34531467, 34203617, 34146628, 33941791, 33727666, 33463937, 33209061, 33098907, 32479016, 31679231, 31679230, 31426291, 31374530, 31209936, 31075333, 31022848, 32450037, 30317949, 29959464, 29773003, 29604911, 29491277, 29465116, 29345563, 29199584, 29199569, 29062957, 28291354, 27797216, 27279444, 27103855, 27093515, 26756295, 26516828, 26349513, 25954960, 25954958, 25746621, 25710156, 25620186, 25535943, 25022513, 24679787, 24614118, 24344650, 23662616, 23610080, 23567506, 22135875, 21792367, 20645726, 19355906, 18386902, 17160010, 14593506, 8349201
Mushrooms	ros	114	36230224, 36187940, 36160418, 35997094, 35784738, 34820866, 34682283, 34592222, 34587423, 34531467, 34309037, 34203617, 34146628, 33941791, 33928983, 33463937, 33209061, 32747291, 32165203, 32071815, 31679230, 31426291, 31374530, 31250646, 31075333, 31022848, 30603923, 32450037, 29465116, 29345558, 29317985, 28605337, 28552988, 28291354, 28018916, 27888812, 27797216, 27103855, 27093515, 26516828, 25746621, 25620186, 25535943, 25022513, 24679787, 23662616, 22324413, 22278065, 22135875, 21792367, 20645726, 19355906, 18386902, 18309284, 17160010
Mushrooms	asa	11	36230224, 34820866, 33374283, 31842490, 7931730
Mushrooms	silibinin	51	36222816, 36129244, 34465197, 34344191, 32237919, 31726883, 29979397, 29285878, 29052443, 27910775, 27370570, 26699189, 25831030, 25288004, 23796220, 22555054, 22527661, 22010434, 19556115, 19454504, 17471780, 14600862, 10786202, 10750173, 10695805, 9601885, 9105206, 8937042, 8146866, 1890905
Mushrooms	silymarin	15	36222816, 34800021, 32237919, 29138589, 26019894, 22555054, 20698230, 10948380, 7732230, 3092435
Mushrooms	flavonolignan	1	36222816
Mushrooms	amanitin	75	36222816, 36129244, 35932340, 35839720, 35533275, 34274377, 33872745, 33458945, 34594698, 32590929, 30849934, 30622880, 30077439, 29958410, 29627524, 28787470, 27030094, 26100667, 25831030, 24139877, 22740810, 22362963, 22184185, 20889720, 20529816, 19730819, 19556115, 19454504, 19389704, 17901672, 17559970, 17459866, 12935559, 10473435, 9105206, 8497777, 1395993, 28564234, 3745203, 28564265, 4276389
Mushrooms	free amino acids	21	36222241, 35255289, 34520973, 34175630, 33233206, 32887476, 30592870, 30583411, 30206952, 30064799, 29717671, 29277224, 27649603, 27596407, 27476275, 26304449, 22339711, 7191608
Mushrooms	ibotenic acid	42	36210279, 35398159, 33932777, 36353314, 33255661, 32200933, 30957709, 30439442, 30073844, 30062915, 24981810, 23851905, 22010435, 17317341, 17195114, 16810488, 16564061, 16464551, 15163594, 9432298, 9173659, 565401, 14266561, 14266560
Mushrooms	ps	18	36200872, 36027667, 32908534, 29962433, 35610905, 28608797, 28149172, 27813595, 26686187, 15205366
Mushrooms	cellulose	11	36200872, 36060741, 33278945, 29675903, 26593593, 25187132, 18327544, 11541935, 11520942, 2647418
Mushrooms	hemicellulose	51	36200872, 36060741, 36010519, 35191774, 33084956, 32630357, 32570772, 32392710, 32084470, 31086063, 30317953, 29675903, 29362825, 29297329, 29082241, 29030967, 28885559, 26675911, 24027758, 23900906, 22805935, 25187132, 19212788, 19104437, 18982415, 18180966, 17625265, 16331453, 15756814, 11319115, 9170251, 2647418, 16347363
Mushrooms	starch	73	36179081, 35954019, 35421645, 35191774, 34715630, 34659161, 34182365, 34100044, 33808231, 33639079, 33426831, 35381155, 32771899, 32536907, 34354531, 32165203, 31426608, 31413417, 31266266, 30961097, 29255711, 29199557, 29032722, 28322143, 28159269, 26957216, 25954961, 25745199, 24266383, 23232921, 22135895, 21480277, 18817154, 18604261, 24015076, 17203391, 16328738, 15713030, 12894818, 12180940, 30841357, 21413296
Mushrooms	isomaltose	2	36179081
Mushrooms	creatine	5	36163273, 33235487, 28755953, 19847734, 7645091
Mushrooms	peptides	30	36160418, 36099828, 35159545, 35049431, 34990226, 34829260, 34441591, 34309037, 34132180, 33505054, 33268478, 32590929, 32013134, 31349587, 31108770, 31042589, 30608100, 29388355, 28890898, 28866879, 27910789, 24262574, 24215325, 10919355, 9644258, 4092876, 6893271
Mushrooms	sms	39	36155811, 34813922, 33867273, 32682088, 32417027, 32267919, 31109561, 30500765, 30027491, 28870506, 28343049, 26988863, 23053096, 20593514, 19467593
Mushrooms	bioethanol	7	36155811, 32188049, 30500765, 28785311
Mushrooms	bio-oil	1	36155811
Mushrooms	salt	37	36155289, 35255289, 34828969, 33922630, 33773685, 33591710, 32526952, 32297673, 30696007, 28869909, 28857162, 27317972, 26601325, 25790994, 25339056, 25124478, 24812070, 23472642, 22249715, 21539616, 17212108, 16980426, 16528133
Mushrooms	rf	4	36155289, 29797728
Mushrooms	water	1322	36155289, 36139844, 36133400, 36129916, 36099828, 36079788, 36041250, 36038680, 36031966, 35997092, 35929368, 35885308, 35840212, 35836693, 35789091, 35774545, 35761899, 35695599, 35695598, 35695597, 35695586, 35684548, 35649960, 35603064, 35576805, 35536497, 35536206, 35522953, 35514996, 35478003, 35467804, 35467802, 35452811, 35446519, 35421645, 35421550, 35407069, 35369040, 35255289, 35245980, 35191704, 35068559, 35018402, 35012230, 35010178, 34946590, 34921890, 34910284, 34898728, 34873706, 34829260, 34823804, 34775597, 34731791, 34715630, 34712341, 34656533, 34597152, 34595894, 34595893, 34587423, 34587422, 34574236, 34564226, 34539207, 34486304, 34475800, 34472672, 34441665, 34441577, 34439572, 34385833, 34375518, 34369735, 34282191, 34257469, 34216974, 34213098, 34203617, 34182365, 34134400, 34100044, 34093192, 34091442, 34073030, 34061363, 34012322, 34003034, 33991903, 33949697, 33928983, 33925891, 33900340, 33877414, 33822505, 33822501, 33822500, 33809439, 33800212, 33773685, 33733862, 33730324, 33712183, 33647695, 33639077, 33638755, 33626468, 33598573, 33591710, 33542921, 33536808, 33521800, 33496977, 33463939, 33463934, 33426838, 33426831, 33426827, 33426826, 33389868, 33389867, 33389866, 33389852, 35381150, 33360460, 33339902, 33288178, 33278945, 33213781, 33177919, 33177917, 33142573, 33141642, 33132590, 33127232, 33074434, 33058392, 33039053, 32982063, 32937925, 32932155, 32903951, 32878164, 32865925, 32865920, 32865896, 32751277, 32749098, 32749097, 32685385, 32612025, 32558501, 32535368, 32523566, 32479021, 32479000, 32464459, 32464001, 32464000, 34354531, 32423046, 32367555, 32356856, 32327797, 32266246, 32222923, 32158252, 32147837, 32079267, 32057877, 31986166, 31973593, 31887488, 31881513, 31865422, 31846079, 31842490, 31841460, 31835792, 31831075, 31706679, 31701990, 31679305, 31679302, 31679298, 31679227, 31672361, 31654855, 31627254, 31565314, 31549643, 31465805, 31427902, 31425759, 31413417, 31394179, 31387396, 31377617, 31357717, 31355400, 31280044, 31179460, 31143001, 31125946, 31086008, 31038490, 31002634, 31002632, 31002629, 31002611, 30961097, 30959991, 30906415, 30906044, 30899159, 30854396, 30806295, 30806271, 30806268, 30806254, 30806220, 30785270, 30771073, 30669493, 30615860, 30609800, 32450036, 32450034, 32450028, 32450026, 32450016, 30592870, 30510718, 30468806, 30458066, 30447375, 30444034, 30409639, 30392854, 30317983, 30317976, 30298116, 30261584, 30228387, 30055554, 30031081, 30023788, 30015540, 29953398, 29953394, 29953392, 29953357, 29953354, 29931755, 29801232, 29773007, 29773006, 29734714, 29717672, 29717669, 29696332, 29665955, 29604914, 29604913, 29604910, 29604909, 29458100, 29431072, 29431070, 29431068, 29388355, 29309866, 29264772, 29256842, 29199585, 29199574, 29199572, 29199571, 29199565, 29199561, 29199559, 29199555, 29177335, 29124970, 29085153, 29051096, 29048788, 28961254, 28942500, 28863984, 28845775, 28845768, 28766143, 28753727, 28702429, 28630461, 28624094, 28605341, 28605322, 28605320, 28592865, 28572939, 28552988, 28551231, 28520092, 28436319, 28416007, 28414956, 28401225, 28386890, 28343049, 28322149, 28322145, 28322142, 28285534, 28254004, 28221973, 28221940, 28221918, 28178377, 28152202, 28105862, 28094748, 28094747, 28094746, 28018218, 28008813, 28008811, 28002446, 27987828, 27939694, 27928928, 27910785, 27910772, 27910771, 27910770, 27910759, 27910755, 27910754, 27888812, 27855917, 27842810, 27797216, 27599128, 27649730, 27649729, 27649728, 27649725, 27649603, 27500458, 27481303, 27481298, 27481296, 27481156, 27469258, 27456820, 27430163, 27413214, 27399616, 27386113, 27296423, 27279536, 27279533, 27262299, 27240752, 27112879, 28911588, 27030094, 27013543, 26969586, 26945891, 26929324, 26900983, 26877235, 26859978, 26854103, 26854101, 26854098, 26853962, 26846304, 26794945, 26756301, 26756300, 26756187, 26756185, 26675911, 26623189, 26616972, 26559862, 26559858, 26509436, 26479911, 26475179, 26349516, 26349515, 26349513, 26237450, 26219260, 26150756, 26148792, 26109775, 26082988, 26082986, 26082984, 26082980, 26058418, 26051725, 26038905, 25954966, 25954914, 25954913, 25954912, 25954908, 25930066, 25926021, 25895250, 25880659, 25845339, 25746620, 25746619, 25746617, 25746616, 25746406, 25745199, 25690537, 30699591, 25621976, 25555819, 25556216, 30699766, 25526572, 25404225, 25404217, 25346610, 25345361, 25271979, 25263876, 25242929, 25173078, 25171488, 25136763, 25072857, 25016256, 25008131, 24978318, 24941166, 24941165, 24941036, 24941032, 24940907, 24940905, 24940904, 24940903, 24940901, 24940900, 24831645, 24823503, 24810469, 24802293, 24528582, 24440295, 24426081, 24399760, 26785237, 26150929, 26084081, 25763030, 24266380, 24266377, 24266369, 24229406, 24211774, 24200110, 30708479, 24141410, 24075343, 23993912, 23993536, 23969852, 23961190, 23924709, 23905795, 23859044, 23812968, 23812734, 23796222, 23694866, 23684440, 23668749, 23662614, 23660002, 23648024, 23567506, 23557370, 23511052, 23510283, 23470875, 23408460, 23370594, 23318270, 30722279, 23266315, 23262267, 23225831, 23120979, 23072731, 23046414, 30727179, 22900710, 22843368, 22824506, 22824504, 22790046, 22783735, 30727232, 22745677, 22717313, 22577977, 22495548, 22470568, 22458938, 22454675, 22424072, 22417494, 23510252, 23510249, 23510248, 23510247, 23510220, 23510217, 23510215, 23510214, 23477214, 22181846, 22181840, 22181838, 22164768, 22135905, 22135902, 22135899, 22135879, 22135877, 22135876, 22135875, 22135874, 22085754, 22049158, 21998613, 21941428, 21912481, 21893367, 21890352, 21846141, 21801760, 30732091, 21787451, 21779573, 21749273, 21716693, 25213921, 24031673, 21313910, 20921274, 20698230, 20647028, 20633495, 20522963, 20347942, 20347070, 20138104, 20120967, 20120233, 20078077, 20045511, 19902205, 19890513, 19809252, 19788456, 23983533, 19711151, 19652465, 19608411, 19603841, 19597314, 19571388, 30764412, 19423319, 19228297, 19227977, 19215132, 21686856, 19041933, 19019106, 18976689, 18817162, 18800803, 18796224, 18608539, 18608494, 18313919, 18313103, 23997603, 18211355, 18035728, 17993133, 20368935, 17692363, 19070153, 17571576, 17499199, 17432875, 17260696, 17239585, 17201124, 30781075, 17177499, 17113195, 17009205, 16880621, 16822205, 16782541, 16737183, 16579546, 16506799, 16428819, 16386843, 16362410, 16233900, 16141474, 16095952, 16028987, 16001252, 15927931, 15898355, 15833003, 15752007, 15703910, 15689137, 15656665, 15641149, 15577212, 15560485, 15521600, 15494365, 15360303, 15356872, 15297041, 15278082, 15205868, 15188245, 15161189, 15049105, 14995139, 14967412, 14601740, 14503509, 14499133, 12966584, 12963408, 12866626, 12456273, 12436306, 12358687, 12325127, 12207470, 12180940, 12116881, 12090024, 12076007, 11853517, 11842649, 11835288, 11833530, 11814447, 11814336, 11591173, 11548360, 11541935, 11312879, 11055413, 10990028, 10748021, 10687156, 10647870, 10628087, 10601791, 10552842, 10552603, 10535147, 10522609, 10221419, 10216245, 10021365, 9842752, 30845489, 9600301, 9640678, 31195513, 9181972, 9084032, 31195505, 28565683, 8828624, 21413296, 9102795, 9065912, 11541109, 8556159, 7619095, 24421079, 7765244, 31113017, 8207663, 8357754, 8456562, 1514330, 1623441, 12285642, 31018317, 2358620, 2132000, 2592320, 2718411, 3242568, 3053051, 3443885, 2452957, 27519339, 28564265, 6540260, 16663455, 6685168, 6626515, 7035751, 7191888, 115820, 573942, 572876, 690067, 568364, 8714, 1170495, 5588378, 13763788, 13194590, 13202193
Mushrooms	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	2	36145248
Mushrooms	mptp	3	36145248
Mushrooms	gle	14	36145248, 34375518, 30317952, 23796220
Mushrooms	nitriles	1	36144849
Mushrooms	epithionitriles	1	36144849
Mushrooms	polysulfides	1	36144849
Mushrooms	carbonyl compounds	1	36144849
Mushrooms	r-l-cysteine sulfoxides	1	36144849
Mushrooms	linoleic acid ethyl ester	1	36144225
Mushrooms	ergosta-5,7,	1	36144225
Mushrooms	22-tetraen-3-ol	1	36144225
Mushrooms	stigmasta-5,22-dien-3-ol	1	36144225
Mushrooms	ergosta-5,7,22-trien-3-ol	1	36144225
Mushrooms	sitosterol	2	36144225, 28362353
Mushrooms	sclerotium	3	36141009, 34981392, 27481299
Mushrooms	ptrss	1	36141009
Mushrooms	sodium glycocholate	1	36141009
Mushrooms	sodium taurocholate	1	36141009
Mushrooms	sodium cholate	1	36141009
Mushrooms	lecp	4	36139844
Mushrooms	1,1'-diphenyl-2-picrylhydrazyl	2	36139844, 23553427
Mushrooms	2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid	7	36139844, 35446523, 33822502, 33536815, 28605321, 26633374, 21052547
Mushrooms	superoxide anion radicals	8	36139844, 32558499, 32398969, 29428383, 27910755
Mushrooms	methyl linoleate	1	36139844
Mushrooms	diene hydroperoxide	1	36139844
Mushrooms	alpha-d-glc,  6)-beta-d-glcp-(	1	36139844
Mushrooms	,  6)-alpha-d-galp	1	36139844
Mushrooms	beta-d-manp	2	36139844, 25600989
Mushrooms	glucosylceramide	3	36138494, 32612025
Mushrooms	ceramide	10	36138494, 34410111, 32971130, 30911026, 29953356, 18450973, 12036031, 11231270
Mushrooms	glucosylceramides	1	36138494
Mushrooms	ceramides	5	36138494, 32298680, 12036031
Mushrooms	ly2940002	1	36133400
Mushrooms	radiocesium	113	36129916, 35510072, 35358916, 34789824, 34634344, 34352577, 34134400, 34082364, 33271395, 32949874, 32931520, 32791375, 31660261, 31546076, 30806257, 30429521, 30340414, 29312835, 29124643, 28751728, 28334042, 28221918, 27473691, 27100277, 26623189, 26061207, 26048471, 25621976, 23259847, 18342998, 18191312, 17258362, 16628432, 16579546, 15919537, 15304977, 15172589, 11993947, 11089805, 9861731, 9467833, 9030839, 7710837, 1589573, 1925527, 1925522, 2001949, 1364413, 3660949
Mushrooms	137cs	40	36129916, 34789824, 34338984, 33625702, 33339821, 32949874, 32791375, 32192356, 32056794, 31973593, 31654855, 30806257, 30429521, 29150187, 29031101, 28390309, 28258385, 20864229, 19138015, 18313103, 16835003, 16579546, 15304977, 15096651, 11936611, 11548360, 11515600, 11446125, 11089805, 9842752, 9030839, 7619095, 1589573, 2684915
Mushrooms	n-acetylcysteine	19	36129244, 31964279, 29138589, 28189696, 26091874, 22740810, 22555054, 22010434, 21792367, 20698230, 19454504, 17559970, 11325916, 1556381
Mushrooms	nac	12	36129244, 31964279, 27888812, 27093515, 26019894, 20698230
Mushrooms	benzylpenicillin	14	36129244, 29138589, 24879323, 19730819, 19556115, 19454504, 17559970
Mushrooms	pen	3	36129244
Mushrooms	sil	7	36129244, 27910775, 23796220, 19556115, 19454504
Mushrooms	bilirubin	24	36129244, 35565533, 28830233, 28286830, 28189696, 22849912, 22783084, 22384703, 22339705, 22783072, 20657455, 23983505, 18976689, 3242568
Mushrooms	polymeric substances	1	36127518
Mushrooms	lipids	130	36127518, 35798070, 35525176, 35442595, 35369040, 34509152, 34410111, 34375520, 34202105, 33917311, 33725544, 33463938, 33455975, 33426825, 33426823, 33276307, 33268175, 32695912, 32612025, 32462901, 32316680, 32298680, 32199145, 32119803, 32069862, 32036890, 31865422, 31554069, 31172167, 30922718, 29962433, 29717669, 29701491, 29514010, 29393350, 29293626, 29199584, 28121271, 28003804, 27798348, 27279439, 26756295, 26559859, 26028707, 24566434, 24266369, 24141410, 23879010, 23172575, 22577978, 22573010, 34662976, 21864091, 20351480, 20138104, 19699163, 19355906, 19326947, 18675349, 17988848, 17763763, 19070009, 16959482, 16362410, 16028987, 15749049, 15558276, 15544548, 15172827, 12866626, 12020804, 11465669, 10890508, 10347703, 8795938, 8654798, 31018285, 24430059, 2590487, 3443885, 568002, 568214, 14463602, 14463601, 13591267
Mushrooms	glucan	82	36126575, 35816703, 35407069, 34813922, 34737055, 34044921, 33878360, 33687093, 33333095, 33322069, 33278945, 32676470, 32479021, 32463994, 31679284, 31533688, 31261851, 30500765, 30392853, 30373293, 30055556, 28718825, 27987828, 27596390, 27138726, 27121155, 27112879, 26957216, 26686187, 25346611, 25332990, 24433673, 26785237, 24266381, 22824504, 22135899, 21775433, 20347070, 19902205, 19571787, 19571388, 19053851, 18180966, 17201124, 15161189, 12436306, 11789883, 10990028, 10601791, 7765244
Mushrooms	10(s)-hydroperoxide	2	36122804
Mushrooms	oxylipin	1	36122804
Mushrooms	(s)-hydroperoxide	3	36122804
Mushrooms	linoleate 8-hydroperoxide	1	36122804
Mushrooms	heme	4	36122804, 31604769, 29933520, 19352038
Mushrooms	corticosterone	7	36118772, 35626632, 34716786, 25746401
Mushrooms	cort	4	36118772, 35626632
Mushrooms	ddh2o	1	36118772
Mushrooms	alumina	1	36115955
Mushrooms	metal	267	36113585, 35997092, 35971039, 35889098, 35887441, 35408727, 35382712, 35240185, 35113771, 35049981, 35013958, 34945547, 34834638, 34595893, 34450157, 34402067, 34329936, 34302346, 34073030, 33982259, 33809439, 33687630, 33601145, 33493846, 33415633, 33278945, 33244695, 33065160, 32916827, 32755707, 32720080, 32663897, 32506407, 32456182, 32363460, 32329001, 32316549, 32222923, 32220378, 31900077, 31864118, 31782093, 31539240, 31518823, 31400682, 31353576, 31319292, 30817069, 30806257, 30806255, 30806222, 30771073, 30623660, 30609048, 32450035, 32450017, 30524837, 30393228, 30381194, 30347361, 29981326, 29953395, 29953361, 29621710, 29564562, 29236477, 29189191, 29157867, 28766143, 28707897, 28605321, 28485497, 28436321, 28192956, 28121276, 28121273, 27975202, 27776228, 27649605, 30263380, 27541154, 27484977, 28911552, 27279533, 27279448, 27272918, 27023804, 26854105, 26853958, 26756184, 26686187, 26614504, 26555009, 26357894, 26213082, 26109775, 26077507, 26041195, 26016949, 25720975, 25710156, 25577119, 25518583, 25404220, 25271977, 24870062, 24425920, 24390832, 24206698, 23761201, 23591676, 23510279, 23354393, 23034893, 22794131, 22371035, 22336529, 22324414, 22300772, 22172519, 22164763, 21554122, 21500071, 21419821, 21301988, 21274641, 20665124, 20647680, 20405104, 20167240, 19563856, 19452115, 19285798, 22454572, 18433997, 18399124, 18313919, 18178083, 17682769, 17665850, 17499342, 17346793, 16842225, 16679550, 16616804, 16038488, 15740762, 12520390, 10682377, 10507142, 10047592, 9839683, 9674152, 9353869, 9102795, 16535136, 7878343, 2226238, 557897
Mushrooms	sarcin	1	36113585
Mushrooms	zn2+	10	36113585, 35971039, 35026222, 30654035, 29953395, 22591486, 12162557, 10879463, 9644258
Mushrooms	cys18	2	36113585
Mushrooms	umami peptide	4	36099828
Mushrooms	umami peptides	5	36099828, 31108770
Mushrooms	egtag	2	36099828
Mushrooms	glu120	1	36099828
Mushrooms	ser142	1	36099828
Mushrooms	asp162	1	36099828
Mushrooms	gln361	1	36099828
Mushrooms	essential oil	15	36099820, 32558504, 31024726, 26342920, 26207731, 25442609, 24295683, 15630278
Mushrooms	cjeo-csnp	2	36099820
Mushrooms	corticin	3	36094086
Mushrooms	cobalt	11	36094086, 34347993, 33592025, 31486017, 31313310, 32450035, 29722060, 28572943, 18246511, 12362793, 951239
Mushrooms	essence extract	1	36091751
Mushrooms	lipopolysaccharide	90	36091751, 36056976, 35993963, 35993960, 35330323, 35127789, 34683391, 34591399, 34385833, 33931887, 33822509, 33639084, 33389870, 32878164, 32612025, 32069862, 31679284, 32450038, 32450036, 30373293, 29933520, 29773005, 29465116, 29345558, 29256845, 29199583, 29199559, 28845770, 28782613, 28465544, 28221973, 28008813, 27910769, 27855917, 27500458, 27279536, 27095922, 26839505, 26559695, 28455068, 26246722, 25835814, 25746403, 25620186, 25404219, 25271860, 25136763, 24940900, 24564835, 24262531, 24200110, 23870867, 23510283, 22648628, 22577976, 23510247, 22135873, 21656334, 21627087, 21373981, 20197785, 19913939, 19232107, 19010422, 18454171, 18239423, 19787100, 16394505, 15337452, 12747869, 12719524, 12027888, 11861021, 8004718
Mushrooms	pro-vitamin d	1	36080385
Mushrooms	provitamin d2	5	36080385, 27323764, 24494050, 23172575
Mushrooms	provitamin-d3	1	36080385
Mushrooms	22,23-dihydroergocalciferol	1	36080385
Mushrooms	provitamin-d4	1	36080385
Mushrooms	cholecalciferol	15	36080385, 34658250, 33272787, 29606435, 22623385, 10552771
Mushrooms	vitamin-d3	1	36080385
Mushrooms	ergocalciferol	38	36080385, 35987007, 34658250, 33356144, 33272787, 29606435, 28605340, 27027234, 26775962, 22623385, 21663327, 18386902, 9925129
Mushrooms	vitamin b1	8	36080192, 31814930, 28261556, 26604366, 24831645, 3290883
Mushrooms	b2	4	36080192, 30854396, 24831645, 8913108
Mushrooms	folic acid	19	36080192, 33639081, 32297673, 26306295, 25651739, 25546978, 2007897, 3053051
Mushrooms	gae	22	36080192, 35993959, 35380361, 34731791, 34347997, 32676470, 32558502, 32516705, 31679288, 28572939, 28174115, 30123611, 25858107, 25746618, 24782649, 24679748, 23354393, 21815423, 21716693, 20657455
Mushrooms	dpph radical	22	36080192, 35649960, 35591784, 35035912, 33639083, 32558499, 32454708, 32398969, 31679229, 30806232, 30317955, 29953355, 29604910, 29199561, 25954962, 25418207, 23510280, 22713951, 23510253, 23997609, 17387019
